name,survey,n_obs,baseline_d,mag_median,amplitude,period_ls,power_ls,fap_ls,sl_ls,cov_ls,has_minent,period_me,entropy_me,sl_me,cov_me,dP,dP_rel,agree,harmonic
VVV_b278_13677578006095,VVV,163,3268.155862300002,14.223860740661621,0.43299894332885813,0.24452332523554957,0.8057453317526789,4.8137211438823913e-54,11.919285933893429,1.0,True,0.2445233252355755,1.085750111548228,11.919285932994347,1.0,-2.5923707624997405e-14,-1.0601732002467382e-13,True,≈ P_ME
VVV_b278_13698058009713,VVV,85,3243.079799910003,14.494193077087402,1.314432144165039,0.11115151652912394,0.28004350675580797,0.0007992661172343691,21.765477017837192,0.8,False,,,,,,,False,
VVV_b278_13632528001638,VVV,70,3268.1557561500013,14.484288692474365,0.8912824630737308,3.3470950666590267,0.4939017496252222,8.256105359180159e-08,14.26854118609085,0.9,False,,,,,,,False,
VVV_b278_13607953001630,VVV,78,3268.156372880003,13.865777492523193,1.183357048034667,0.17174504770342422,0.29098310481380474,0.0012058862911988712,16.636513046293352,0.9,False,,,,,,,False,
VVV_b278_13624337001516,VVV,61,3243.0790429899935,14.905184745788574,1.2662620544433594,0.5064376907030407,0.4332014105504775,3.386714656038453e-05,13.062394733406874,0.9,False,,,,,,,False,
VVV_b278_13681679002065,VVV,55,3132.3320889899987,14.901388168334961,1.4133252143859867,0.11583968469469937,0.3321353190804269,0.00921702817354191,10.676003238718945,0.95,False,,,,,,,False,
VVV_b278_13636618018532,VVV,58,3268.156239060001,14.964283466339111,1.4098701953887929,1.0405438046680489,0.4111366789427247,0.00019936033564736804,11.128447672716467,0.9,False,,,,,,,False,
VVV_b278_13628431007908,VVV,165,3268.156437510006,14.696869850158691,0.6302640914916999,1.8170399267151307,0.4810048428213336,1.6552300172493837e-20,9.943362735096965,0.95,False,,,,,,,False,
VVV_b278_13673478006858,VVV,168,3268.1561311900005,14.987343311309814,0.82064242362976,0.5454640098131528,0.6341294442466217,2.335333498905114e-33,11.214396111251874,0.95,True,0.5454731139054699,1.070568806329018,12.12523563021338,1.0,-9.104092317135937e-06,-1.669026774198383e-05,True,≈ P_ME
VVV_b278_13636620012237,VVV,167,3268.155932490001,14.304823875427246,0.34862184524536133,1.0755764886483445,0.4103426353132064,2.6754173054033584e-16,29.888342226991043,0.95,False,,,,,,,False,
VVV_b278_13620233004017,VVV,75,3268.155242779998,14.80963134765625,0.7880887031555179,0.10757901230429814,0.4889230290437865,2.1193642420234204e-08,19.26970663571911,0.9,False,,,,,,,False,
VVV_b278_13657105000896,VVV,168,3268.156239060001,14.921377658843994,0.47637734413146937,1.6441769636231192,0.707893748326678,2.598029314549025e-41,12.83675512021124,1.0,True,1.6444251518145239,1.199221579305382,13.82276917531636,1.0,-0.00024818819140470794,-0.00015092702220642103,True,≈ P_ME
VVV_b278_13698053010679,VVV,57,3132.332467289998,13.937089920043945,1.238029861450194,0.177469932803882,0.4999544720855311,3.7518889556837033e-06,10.263304180078741,0.85,True,0.14975175402230956,0.7010695421871072,10.061711908581431,0.9,0.027718178781572456,0.18509418445571654,False,sin armónico simple
VVV_b278_13607948001363,VVV,331,3268.157367440006,14.505278587341309,0.4853672981262207,1.747943445740746,0.6882198700969373,8.149430690556622e-80,18.619743787468916,0.95,True,1.7480369378638465,1.4308669911818361,20.921669463176485,1.0,-9.349212310061361e-05,-5.348406608321663e-05,True,≈ P_ME
VVV_b278_13612043009408,VVV,168,3268.1561311900005,14.888730525970459,0.6486391067504886,1.9997093003063875,0.784529311816317,3.816295337253824e-52,11.843631945297457,0.7,True,3.9991356977586534,1.0359434138113486,10.409847778837031,0.75,-1.999426397452266,-0.49996462950053433,False,≈ P_ME/2
VVV_b278_13685765002625,VVV,168,3268.155862300002,14.078985214233398,0.2932125568389896,0.6316600663137916,0.7108409033475814,1.1237148874402573e-41,14.036724344904785,1.0,True,0.6316722750997273,1.1348402706030913,15.104149379668062,1.0,-1.2208785935774458e-05,-1.932772169531575e-05,True,≈ P_ME
