survey,n_total,n_minent,period_ls_median,period_ls_p05,period_ls_p95,amplitude_median,sl_ls_median,cov_ls_median,n_obs_median
OGLE,50,10,0.8623,0.1286,4.1516,0.3023,24.4891,1.0,511.5
VVV,50,20,0.2757,0.1015,2.6385,1.027,12.9159,0.95,84.5
